date,close,length,angle
103.834814,2.373780584,103.8619441,0.022857143
104.1110448,4.762680185,104.219925,0.045714286
85.3421721,5.861224111,85.54320713,0.068571429
95.36687671,8.743634101,95.76686437,0.091428571
106.0291059,12.17064615,106.7253294,0.114285714
98.81040594,13.63674281,99.74696525,0.137142857
85.69531556,13.82946381,86.80403895,0.16
74.90939199,13.85245629,76.17944312,0.182857143
69.55484344,14.51373743,71.05297193,0.205714286
72.42685373,16.84916416,74.36090017,0.228571429
68.92683416,17.7048355,71.16438482,0.251428571
88.58466632,24.92574277,92.02464757,0.274285714
67.75282862,20.7464897,70.85804556,0.297142857
70.15315036,23.24801077,73.9049018,0.32
66.3967328,23.70063218,70.49997229,0.342857143
65.36122286,25.02948327,69.98974558,0.365714286
70.90064875,29.02572891,76.61197643,0.388571429
80.45662804,35.10569648,87.78199656,0.411428571
79.52892668,36.88698059,87.66698076,0.434285714
73.26888976,36.0406229,81.65327125,0.457142857
57.73636667,30.05817859,65.09210502,0.48
71.75378325,39.46588287,81.89115533,0.502857143
53.41762175,30.99153681,61.75692404,0.525714286
60.24989176,36.82120099,70.61055374,0.548571429
58.11613392,37.36785392,69.09299189,0.571428571
63.6487421,43.01258301,76.81955915,0.594285714
59.9595372,42.54755403,73.52170057,0.617142857
52.66818345,39.21377062,65.66321157,0.64
78.91817103,61.61088031,100.1198197,0.662857143
54.65302276,44.71472042,70.61415665,0.685714286
80.22379088,68.75561745,105.6560058,0.708571429
52.83951021,47.42311729,70.99975981,0.731428571
51.9881183,48.84979128,71.33769377,0.754285714
51.64662377,50.80086913,72.44378546,0.777142857
48.57631547,50.01604736,69.72276112,0.8
45.40573681,48.94154358,66.76043456,0.822857143
37.00131852,41.7575151,55.79236184,0.845714286
36.50164085,43.14110531,56.51127987,0.868571429
51.97796285,64.35973131,82.72776823,0.891428571
52.36973655,67.96596814,85.8018772,0.914285714
42.52401684,57.87742978,71.8198363,0.937142857
35.25871553,50.36205045,61.47774513,0.96
36.72880323,55.10077587,66.22009127,0.982857143
34.13023739,53.82878038,63.7370434,1.005714286
35.41740161,58.78816652,68.63265156,1.028571429
39.44822391,68.99888576,79.47961126,1.051428571
33.12162742,61.13479367,69.53060621,1.074285714
34.66670043,67.63302077,76.00003696,1.097142857
33.13104068,68.4472478,76.04401086,1.12
29.88841971,65.52622854,72.02085989,1.142857143
31.17358155,72.70015241,79.10186058,1.165714286
29.59276518,73.61478538,79.34020656,1.188571429
26.58882526,70.77496842,75.60464128,1.211428571
